state,year,visitor_type,rank,destination
Negeri Sembilan,2025,tourists,2,PD Water Front
Negeri Sembilan,2025,tourists,3,Pantai Teluk Kemang
Negeri Sembilan,2025,tourists,4,Taman Eko Rimba Gunung Datuk
Negeri Sembilan,2025,tourists,5,Masjid Sri Sendayan
Pahang,2024,domestic_visitors,1,East Cost Mall
Pahang,2024,domestic_visitors,2,Pantai Teluk Cempedak
Pahang,2024,domestic_visitors,3,Kuantan Parade
Pahang,2024,domestic_visitors,4,Genting Highlands
Pahang,2024,domestic_visitors,5,Cameron Highlands
Pahang,2024,tourists,1,Cameron Highlands
Pahang,2024,tourists,2,Genting Highlands
Pahang,2024,tourists,3,Pantai Teluk Cempedak
Pahang,2024,tourists,4,Pantai Cherating
Pahang,2024,tourists,5,Dataran Kuantan
Pahang,2025,domestic_visitors,1,Genting Highlands
Pahang,2025,domestic_visitors,2,Cameron Highlands
Pahang,2025,domestic_visitors,3,East Cost Mall
Pahang,2025,domestic_visitors,4,Pantai Teluk Cempedak
Pahang,2025,domestic_visitors,5,Kuantan City Mall
Pahang,2025,tourists,1,Cameron Highlands
Pahang,2025,tourists,2,Pantai Teluk Cempedak
Pahang,2025,tourists,3,Pantai Cherating
Pahang,2025,tourists,4,Genting Highlands
Pahang,2025,tourists,5,East Cost Mall
Perak,2024,domestic_visitors,1,Teluk Batik
Perak,2024,domestic_visitors,2,Lumut Waterfront
Perak,2024,domestic_visitors,3,Ipoh Night Market
Perak,2024,domestic_visitors,4,Taman Rekreasi Gunung Lang
Perak,2024,domestic_visitors,5,Pulau Pangkor
Perak,2024,tourists,1,Ipoh Night Market
Perak,2024,tourists,2,Teluk Batik
Perak,2024,tourists,3,Pulau Pangkor
Perak,2024,tourists,4,Lost World of Tambun
Perak,2024,tourists,5,Taman Rekreasi Gunung Lang
Perak,2025,domestic_visitors,1,Ipoh Parade Shopping Centre
Perak,2025,domestic_visitors,2,Teluk Batik
Perak,2025,domestic_visitors,3,Concubine Lane
Perak,2025,domestic_visitors,4,Ipoh Night Market
Perak,2025,domestic_visitors,5,Bazar Karat Ipoh
Perak,2025,tourists,1,Concubine Lane
Perak,2025,tourists,2,Teluk Batik
Perak,2025,tourists,3,Lost World of Tambun
Perak,2025,tourists,4,Tasik Cermin
Perak,2025,tourists,5,Pulau Pangkor
Perlis,2024,domestic_visitors,1,Arked Niaga Padang Besar
Perlis,2024,domestic_visitors,2,Medan Ikan Bakar Kuala Perlis
Perlis,2024,domestic_visitors,3,Padang Waremart
Perlis,2024,domestic_visitors,4,Hutan Lipur Bukit Ayer
Perlis,2024,domestic_visitors,5,Menara Pandang Wang Kelian
Perlis,2024,tourists,1,Arked Niaga Padang Besar
Perlis,2024,tourists,2,Tasik Timah Tasoh
Perlis,2024,tourists,3,Ladang Nipah Kipli
Perlis,2024,tourists,4,Padang Waremart
Perlis,2024,tourists,5,Menara Pandang Wang Kelian
Perlis,2025,domestic_visitors,1,Arked Niaga Padang Besar
Perlis,2025,domestic_visitors,2,Wang Kelian View Point
Perlis,2025,domestic_visitors,3,Taman Eko-Rimba Bukit Ayer
Perlis,2025,domestic_visitors,4,Padang Waremart
Perlis,2025,domestic_visitors,5,Medan Ikan Bakar Kuala Perlis
Perlis,2025,tourists,1,Arked Niaga Padang Besar
Perlis,2025,tourists,2,Padang Waremart
Perlis,2025,tourists,3,Nat Pokok Getah
Perlis,2025,tourists,4,Kampung Wai Kuala Perlis
Perlis,2025,tourists,5,Wang Kelian View Point
Pulau Pinang,2024,domestic_visitors,1,Queensbay Mall
Pulau Pinang,2024,domestic_visitors,2,Pantai Batu Ferringhi
Pulau Pinang,2024,domestic_visitors,3,Sunway Carnival Mall
Pulau Pinang,2024,domestic_visitors,4,Gurney Plaza
Pulau Pinang,2024,domestic_visitors,5,Bukit Bendera
Pulau Pinang,2024,tourists,1,Bukit Bendera
Pulau Pinang,2024,tourists,2,Pantai Batu Ferringhi
Pulau Pinang,2024,tourists,3,Taman Negara Pulau Pinang
Pulau Pinang,2024,tourists,4,Queensbay Mall
Pulau Pinang,2024,tourists,5,ESCAPE
Pulau Pinang,2025,domestic_visitors,1,Sunway Carnival Mall
Pulau Pinang,2025,domestic_visitors,2,Queensbay Mall
Pulau Pinang,2025,domestic_visitors,3,Gurney Plaza
Pulau Pinang,2025,domestic_visitors,4,Pantai Teluk Bahang
Pulau Pinang,2025,domestic_visitors,5,Kek Lok Si Temple
Pulau Pinang,2025,tourists,1,Pantai Batu Ferringhi
Pulau Pinang,2025,tourists,2,Bukit Bendera
Pulau Pinang,2025,tourists,3,Queensbay Mall
Pulau Pinang,2025,tourists,4,Armenian Street
Pulau Pinang,2025,tourists,5,ESCAPE
Sabah,2024,domestic_visitors,1,Imago Shopping Mall
Sabah,2024,domestic_visitors,2,One Borneo Hypermall
Sabah,2024,domestic_visitors,3,Suria Sabah Shopping Mall
Sabah,2024,domestic_visitors,4,Centre Point Sabah
Sabah,2024,domestic_visitors,5,Pantai Tanjung Aru
Sabah,2024,tourists,1,Imago Shopping Mall
Sabah,2024,tourists,2,Pekan Kundasang & Pekan Nabalu
Sabah,2024,tourists,3,Pantai Tanjung Aru
Sabah,2024,tourists,4,Desa Dairy Farm
Sabah,2024,tourists,5,Taman Marin Tunku Abdul Rahman
Sabah,2025,domestic_visitors,1,Imago Shopping Mall
Sabah,2025,domestic_visitors,2,Pekan Nabalu
Sabah,2025,domestic_visitors,3,Pantai Anjung Aru
Sabah,2025,domestic_visitors,4,Pulau Mabul
Sabah,2025,domestic_visitors,5,Sungai Melangkap
Sabah,2025,tourists,1,Imago Shopping Mall
Sabah,2025,tourists,2,Desa Dairy Farm
Sabah,2025,tourists,3,Pantai Tanjung Aru
Sabah,2025,tourists,4,Taman Marin Tun Sakaran
Sabah,2025,tourists,5,Taman Marin Tunku Abdul Rahman
Sarawak,2024,domestic_visitors,1,Daesco Star Mega Mall
Sarawak,2024,domestic_visitors,2,The Spring Mall Bintulu
Sarawak,2024,domestic_visitors,3,Pasar Sentral Sibu
Sarawak,2024,domestic_visitors,4,Vivacity Megamall
Sarawak,2024,domestic_visitors,5,Wisma Sanyan
Sarawak,2024,tourists,1,Vivacity Megamall
Sarawak,2024,tourists,2,Kuching Waterfront
Sarawak,2024,tourists,3,Sibu Night Market
Sarawak,2024,tourists,4,Daesco Star Mega Mall
Sarawak,2024,tourists,5,Pantai Damai
Sarawak,2025,domestic_visitors,1,Kuching Waterfront
Sarawak,2025,domestic_visitors,2,Daesco Star Mega Mall
Sarawak,2025,domestic_visitors,3,Pasar Sentral Sibu
Sarawak,2025,domestic_visitors,4,The Spring Mall Bintulu
Sarawak,2025,domestic_visitors,5,Vivacity Megamall
Sarawak,2025,tourists,1,Vivacity Megamall
Sarawak,2025,tourists,2,Kuching Waterfront
Sarawak,2025,tourists,3,Darul Hana Bridge
Sarawak,2025,tourists,4,Daesco Star Mega Mall
Sarawak,2025,tourists,5,Sibu Night Market
Selangor,2024,domestic_visitors,1,IOI City Mall
Selangor,2024,domestic_visitors,2,Ikea Damansara
Selangor,2024,domestic_visitors,3,Sunway Pyramid Shopping Mall
Selangor,2024,domestic_visitors,4,1 Utama Shopping Centre
Selangor,2024,domestic_visitors,5,Batu Caves
Selangor,2024,tourists,1,IOI City Mall
Selangor,2024,tourists,2,Mitsui Outlet Park
Selangor,2024,tourists,3,Pantai Bagan Lalang
Selangor,2024,tourists,4,GM Klang Wholesale City
Selangor,2024,tourists,5,IKEA Damansara
Selangor,2025,domestic_visitors,1,IOI City Mall
Selangor,2025,domestic_visitors,2,1 Utama Shopping Centre
Selangor,2025,domestic_visitors,3,Sunway Pyramid
Selangor,2025,domestic_visitors,4,Ikea Damansara
Selangor,2025,domestic_visitors,5,Setia City Mall
Selangor,2025,tourists,1,IOI City Mall
Selangor,2025,tourists,2,Mitsui Outlet Park
Selangor,2025,tourists,3,Sunway Lagoon
Selangor,2025,tourists,4,Zoo Negara Malaysia
Selangor,2025,tourists,5,Bangi Wonderland
Terengganu,2024,domestic_visitors,1,KTCC Mall
Terengganu,2024,domestic_visitors,2,Terengganu Drawbridge
Terengganu,2024,domestic_visitors,3,Pantai Batu Buruk
Terengganu,2024,domestic_visitors,4,Pasar Besar Kedai Payang
Terengganu,2024,domestic_visitors,5,Pesisir Pantai Seberang Takir
Terengganu,2024,tourists,1,Pasar Besar Kedai Payang
Terengganu,2024,tourists,2,Pantai Batu Buruk
Terengganu,2024,tourists,3,KTCC Mall
Terengganu,2024,tourists,4,Terengganu Drawbridge
Terengganu,2024,tourists,5,Masjid Kristal
Terengganu,2025,domestic_visitors,1,KTCC Mall
Terengganu,2025,domestic_visitors,2,Pasar Besar Kedai Payang
Terengganu,2025,domestic_visitors,3,Pantai Penarik
Terengganu,2025,domestic_visitors,4,Pantai Teluk Ketapang
Terengganu,2025,domestic_visitors,5,Pantai Batu Buruk
Terengganu,2025,tourists,1,Pasar Besar Kedai Payang
Terengganu,2025,tourists,2,Terengganu Drawbridge
Terengganu,2025,tourists,3,KTCC Mall
Terengganu,2025,tourists,4,Pantai Penarik
Terengganu,2025,tourists,5,Pantai Batu Buruk
W.P. Kuala Lumpur,2024,domestic_visitors,1,SOGO
W.P. Kuala Lumpur,2024,domestic_visitors,2,Mid Valley Megamall
W.P. Kuala Lumpur,2024,domestic_visitors,3,Suria KLCC
W.P. Kuala Lumpur,2024,domestic_visitors,4,Petaling Street Market
W.P. Kuala Lumpur,2024,domestic_visitors,5,Pasar Seni
W.P. Kuala Lumpur,2024,tourists,1,SOGO
W.P. Kuala Lumpur,2024,tourists,2,Mid Valley Megamall
W.P. Kuala Lumpur,2024,tourists,3,Suria KLCC
W.P. Kuala Lumpur,2024,tourists,4,Pavilion Kuala Lumpur
W.P. Kuala Lumpur,2024,tourists,5,Berjaya Times Square
W.P. Kuala Lumpur,2025,domestic_visitors,1,Pavilion Kuala Lumpur
W.P. Kuala Lumpur,2025,domestic_visitors,2,SOGO
W.P. Kuala Lumpur,2025,domestic_visitors,3,Mid Valley Megamall
W.P. Kuala Lumpur,2025,domestic_visitors,4,Berjaya Times Square
W.P. Kuala Lumpur,2025,domestic_visitors,5,Axiata Arena Bukit Jalil
W.P. Kuala Lumpur,2025,tourists,1,The Exchange TRX
W.P. Kuala Lumpur,2025,tourists,2,Stadium Nasional Bukit Jalil
W.P. Kuala Lumpur,2025,tourists,3,Suria KLCC
W.P. Kuala Lumpur,2025,tourists,4,Pavilion Kuala Lumpur
W.P. Kuala Lumpur,2025,tourists,5,Mid Valley Megamall
W.P. Labuan,2024,domestic_visitors,1,Kompleks Ujana Kewangan
W.P. Labuan,2024,domestic_visitors,2,Dataran Labuan
W.P. Labuan,2024,domestic_visitors,3,Pantai Pohon Batu
W.P. Labuan,2024,domestic_visitors,4,Kompleks Sukan Laut Antarabangsa Labuan
W.P. Labuan,2024,domestic_visitors,5,Kampung Patau-Patau
W.P. Labuan,2024,tourists,1,Pantai Layang-Layang
W.P. Labuan,2024,tourists,2,Pantai Pohon Batu
W.P. Labuan,2024,tourists,3,Muzium Marin Labuan
W.P. Labuan,2024,tourists,4,Dataran Labuan
W.P. Labuan,2024,tourists,5,Pantai Pancur Hitam
W.P. Labuan,2025,domestic_visitors,1,Kompleks Sukan Laut Antarabangsa Labuan
W.P. Labuan,2025,domestic_visitors,2,Dataran Labuan
W.P. Labuan,2025,domestic_visitors,3,Kampung Patau-Patau
W.P. Labuan,2025,domestic_visitors,4,Memorial Perang Dunia Kedua
W.P. Labuan,2025,domestic_visitors,5,Pantai Pohon Batu
W.P. Labuan,2025,tourists,1,Pantai Layang-Layang
W.P. Labuan,2025,tourists,2,Dataran Labuan
W.P. Labuan,2025,tourists,3,Taman Laut Labuan
W.P. Labuan,2025,tourists,4,Kompleks Ujana Kewangan
W.P. Labuan,2025,tourists,5,Kampung Patau-Patau
W.P. Putrajaya,2024,domestic_visitors,1,"Dataran Putrajaya, Presint 3"
W.P. Putrajaya,2024,domestic_visitors,2,Alamanda Shopping Centre
W.P. Putrajaya,2024,domestic_visitors,3,Masjid Putra
W.P. Putrajaya,2024,domestic_visitors,4,Cruise Tasik Putrajaya
W.P. Putrajaya,2024,domestic_visitors,5,Dataran Putra
W.P. Putrajaya,2024,tourists,1,Masjid Putra
W.P. Putrajaya,2024,tourists,2,Taman Botani
W.P. Putrajaya,2024,tourists,3,Dataran Putra
W.P. Putrajaya,2024,tourists,4,Alamanda Shopping Centre
W.P. Putrajaya,2024,tourists,5,Taman Saujana Hijau
W.P. Putrajaya,2025,domestic_visitors,1,Dataran Putrajaya
W.P. Putrajaya,2025,domestic_visitors,2,Alamanda Shopping Centre
W.P. Putrajaya,2025,domestic_visitors,3,Masjid Putra
W.P. Putrajaya,2025,domestic_visitors,4,Cruise Tasik Putrajaya
W.P. Putrajaya,2025,domestic_visitors,5,Taman Saujana Hijau
W.P. Putrajaya,2025,tourists,1,Alamanda Shopping Centre
W.P. Putrajaya,2025,tourists,2,Taman Botani
W.P. Putrajaya,2025,tourists,3,Dataran Putra
W.P. Putrajaya,2025,tourists,4,Masjid Putra
W.P. Putrajaya,2025,tourists,5,Taman Saujana Hijau
