state,year,domestic_visitors_000,tourism_receipts_rm_million,tourism_growth_pct,tourism_value_growth_pct,tourism_intensity,google_search_interest,search_interest_growth_pct
Johor,2019,14274.3642667527,7409.67789125131,5.83608267248652,10.1579642985956,3.795162253204482,71.58333333333333,-14.781746031746037
Johor,2020,7242.508,2431.61988775028,-49.2621326970829,-67.183190370241,1.8062468513853904,72.41666666666667,1.1641443538998968
Johor,2021,3657.55,1251.84930290302,-49.4988476367579,-48.5178868124317,0.9098383084577116,67.25,-7.134637514384357
Johor,2022,12376.202,4888.35148006201,238.374102883077,290.490410365369,3.0723138793039246,85.58333333333333,27.261462205700116
Johor,2023,15804.89,6699.11884569231,27.7038787828447,37.0424952668774,3.848093591741333,75.5,-11.781888997078866
Johor,2024,17138.338,7814.41585763373,8.43693312639315,16.6484135844012,4.095769524902018,68.16666666666667,-9.713024282560701
Johor,2025,18196.973,8722.92495205821,6.17699919327068,11.6260653512185,4.328387288599225,68.58333333333333,0.6112469437652672
Kedah,2019,14831.1555133218,5208.13192969844,2.42497701428575,10.2376026405955,6.823000190146663,48.916666666666664,-7.704402515723274
Kedah,2020,10108.084,2272.69214593496,-31.8456071010744,-56.3626233626045,4.742462231397204,58.666666666666664,19.931856899488928
Kedah,2021,4023.002,842.205404074748,-60.2001526698828,-62.942389466116,1.869685365060185,58.666666666666664,0.0
Kedah,2022,11186.197,3469.82268561478,178.055964177994,311.992450870907,5.171373029448477,63.5,8.238636363636367
Kedah,2023,13444.055,4206.61948328264,20.1843218030221,21.2344221715559,6.1408007125565245,60.0,-5.511811023622047
Kedah,2024,14651.4879543306,4961.15023607227,8.98116642880886,17.9367483982847,6.6084019459341485,47.75,-20.416666666666668
Kedah,2025,15607.884,5520.25004061484,6.52763766144799,11.2695600402782,7.008164878092587,48.416666666666664,1.3961605584642185
Kelantan,2019,10985.6520100096,4800.04103126423,11.5733728270763,19.9591838148889,5.831644553567045,46.666666666666664,6.060606060606055
Kelantan,2020,6058.183,1555.12261713697,-44.8536782843652,-67.6018890878651,3.379739470013947,58.0,24.285714285714292
Kelantan,2021,1920.93,477.222127559975,-68.291977974254,-69.312893896524,1.0599404072173482,57.75,-0.43103448275862066
Kelantan,2022,6627.155,2586.22406280686,244.997214890704,441.932972812925,3.6202092210204304,71.75,24.242424242424242
Kelantan,2023,7549.37,3228.385093431,13.9156998742296,24.830061704986,4.059237552424992,72.33333333333333,0.8130081300812941
Kelantan,2024,10514.411,4540.61133613717,39.2753435054846,40.6465215496206,5.569368610625562,58.583333333333336,-19.009216589861744
Kelantan,2025,12062.016,5239.00827617872,14.7188939066582,15.3811213587749,6.325458073312706,54.5,-6.970128022759606
Melaka,2019,13978.9741697121,6369.89280746409,6.52591509698714,14.493599565688,15.057059639931174,62.666666666666664,-19.65811965811966
Melaka,2020,7274.547,2372.6250612483,-47.960795179366,-62.7525119658511,7.286204927884615,56.0,-10.638297872340424
Melaka,2021,3878.14,1004.11271080667,-46.6889141000807,-57.6792504131108,3.860766550522648,46.25,-17.410714285714285
Melaka,2022,11757.166,4842.59364655733,203.165073978763,382.275903336285,11.656916517945666,69.75,50.810810810810814
Melaka,2023,15558.661,6438.41105660879,32.3334296717423,32.9537749091533,15.13046873480502,60.0,-13.978494623655912
Melaka,2024,19128.405,7933.20647467174,22.9437738890255,23.216837274293,18.274964173115503,59.666666666666664,-0.5555555555555595
Melaka,2025,20832.201530282,8732.39649344146,8.90715420486967,10.0739848549421,19.802472937530418,54.416666666666664,-8.798882681564246
Negeri Sembilan,2019,13303.0418435376,5071.03036849894,3.91281272360908,4.98921414600528,11.812326268458175,48.333333333333336,-3.3333333333333286
Negeri Sembilan,2020,7917.736,2232.9800948256,-40.4817627943769,-55.9659490762116,6.598113333333333,63.416666666666664,31.206896551724128
Negeri Sembilan,2021,5485.17,1213.38512045771,-30.7229996049376,-45.6607283123821,4.555032386646737,70.0,10.381077529566364
Negeri Sembilan,2022,11490.144,3651.3406055165,109.476533999858,200.921821436145,9.51249606755526,72.0,2.857142857142857
Negeri Sembilan,2023,14959.47,4777.28125500884,30.1939296844322,30.8363631645662,12.212809208915012,63.666666666666664,-11.574074074074076
Negeri Sembilan,2024,17784.532,5869.462129308,18.8847733241886,22.8619755881871,14.348150060508267,56.166666666666664,-11.780104712041885
Negeri Sembilan,2025,19356.545,6529.26193925348,8.83921488628432,11.2412312305569,15.561174531714766,58.083333333333336,3.4124629080118782
Pahang,2019,18497.5783549097,7600.74634258733,2.13248398575252,2.64575118492816,11.067116402363109,60.5,16.346153846153847
Pahang,2020,9905.002,2748.04988629641,-46.4524392871623,-63.8449993930338,6.224471815496764,66.91666666666667,10.606060606060613
Pahang,2021,3404.772,914.378229522129,-65.6257313224167,-66.7262870997422,2.125989384951608,59.333333333333336,-11.332503113325034
