state,visitor_change_2019_2025_pct,receipt_change_2019_2025_pct,visitor_cagr_2019_2025_pct,receipt_cagr_2019_2025_pct,search_change_2019_2025_pct
Perlis,79.92390422908421,109.25920059421466,10.28458443908573,13.096047393679555,0.5805515239477588
W.P. Putrajaya,61.41611082606464,45.58303886925794,8.3073208941844,6.459673543876665,26.78018575851393
W.P. Kuala Lumpur,54.9065523792692,39.247178980314644,7.566812147727386,5.673088553028083,-10.469314079422354
Melaka,49.02525233517218,37.08859406878942,6.875127123328317,5.398287301819149,-13.164893617021278
Negeri Sembilan,45.50465395553944,28.756119857081153,6.45011805226845,4.302482876881686,20.172413793103438
Johor,27.480094103971343,17.723402826423353,4.1294870989629695,2.7567755366838753,-4.190919674039584
Pahang,25.211882094028137,29.550026810753337,3.8183822653668598,4.409396269877508,-13.636363636363635
W.P. Labuan,15.267175572519086,-3.316326530612246,2.3963026401471854,-0.5605171197063052,34.30962343096233
Pulau Pinang,14.972486413741004,27.60440499050192,2.352625455473789,4.146403691119471,-25.32637075718017
Sarawak,14.79359235878297,5.393219339685418,2.3260652481443156,0.8793120242466701,-3.082191780821919
Perak,12.20335127823564,2.485705018915385,1.93757660751388,0.41005743813204987,-1.200000000000001
Kelantan,9.797907206688027,9.145072761990015,1.5700525299422452,1.469150027843491,16.785714285714313
Terengganu,9.210116159882942,-3.2532224831414602,1.4792257004200504,-0.5497029394813779,17.18426501035195
Selangor,8.300200377136303,1.398039508943838,1.3378167184733947,0.23166076570080296,14.903846153846168
Kedah,5.2371407337784115,5.992899472008428,0.8543976657746644,0.974752056172834,-1.0221465076660996
Sabah,1.4799161728170196,20.699537971693836,0.24514536935618114,3.185245378584134,-17.817258883248734
